Accessory,Background,Clothes,Eyes,Fur,Headwear,Mouth,_id,description,edition,image,name
None,Orange,Jersey,VR,Black,Party Hat,Cigarette,61aa7e125f3a3742af4c4aa7,SHIBOSHIS - Official Collection,469,https://shiboshis.mypinata.cloud/ipfs/QmPpbPYPpRZRYLcXUecqgqjJUmZr3QxXtKgWGtHVVTufUq,#468
None,Orange Fade,Army,Laser Visor,Brown,None,Whistle,61aa7e125f3a3742af4c4aa8,SHIBOSHIS - Official Collection,470,https://shiboshis.mypinata.cloud/ipfs/QmPJ9bm6cmHRzEb31ergQpD68obiyZjrQai8M1qMGZJWCL,#469
None,Red,Scarf,Laser Visor,Black,None,Smirk,61aa7e125f3a3742af4c4aa9,SHIBOSHIS - Official Collection,471,https://shiboshis.mypinata.cloud/ipfs/QmYAuywGrdZ6WYFzpvEdYd8Xrrh2yXhGJVGEtGNzKnbs6u,#470
None,Purple,Orange Gi,Laser Visor,Orange,Mohawk,Tongue Out,61aa7e125f3a3742af4c4aaa,SHIBOSHIS - Official Collection,472,https://shiboshis.mypinata.cloud/ipfs/QmTEWc6wg2MJXuCFfHnD6wncX47b5wgxFde7CZfKVw6NSp,#471
None,Yellow,Overalls,VR,Orange,Blue Hair,Cigarette,61aa7e125f3a3742af4c4aab,SHIBOSHIS - Official Collection,473,https://shiboshis.mypinata.cloud/ipfs/QmSbGpQcWhkhKQvufQQTWrLVGvPeWv3rqBtsCWUm3VPEvH,#472
None,Red,None,Laser Visor,Brown,Halo,Tongue Out,61aa7e125f3a3742af4c4aac,SHIBOSHIS - Official Collection,474,https://shiboshis.mypinata.cloud/ipfs/QmbVwYEr96r3cZHFKcUxP89Mwve1rfeSMuDU6vwHirjWbU,#473
None,Orange,Astro,Laser Visor,Orange,Blonde Hair,Growl,61aa7e125f3a3742af4c4aad,SHIBOSHIS - Official Collection,475,https://shiboshis.mypinata.cloud/ipfs/QmRSmLb3uEyaSVwrJBywzZgpe3Y51BDiYMPv7YQV7VbWof,#474
None,Red,Steel,VR,Orange,Cowboy Hat,Pipe,61aa7e125f3a3742af4c4aae,SHIBOSHIS - Official Collection,476,https://shiboshis.mypinata.cloud/ipfs/QmVkhTFXZFr4xPDmXHzuwiCMUtjkwXxadQ6rjZvhLxFmus,#475
None,Red,Scarf,VR,Black,Cyborg,Normal,61aa7e125f3a3742af4c4aaf,SHIBOSHIS - Official Collection,477,https://shiboshis.mypinata.cloud/ipfs/QmTAb8pBJiKSqKx8MWTLErBte1RsJpWLwQD9TXS2rrfAbq,#476
None,Lightning,Steel,Laser Visor,Orange,None,Tongue Out,61aa7e125f3a3742af4c4ab0,SHIBOSHIS - Official Collection,478,https://shiboshis.mypinata.cloud/ipfs/QmWUpPAthPnn2KRpE4ceFi8nxFbPrxmJgHbKGi9b2UW81c,#477
None,Rainbow,Rocker Vest,Laser Visor,Black,Cyborg,Bubblegum,61aa7e125f3a3742af4c4ab1,SHIBOSHIS - Official Collection,479,https://shiboshis.mypinata.cloud/ipfs/QmUdfhnESRyay5inZNagnhRGxq2TPvQzpMGYCrtGgZt4gD,#478
None,Yellow,Business Suit,VR,Orange,None,Cigarette,61aa7e125f3a3742af4c4ab2,SHIBOSHIS - Official Collection,480,https://shiboshis.mypinata.cloud/ipfs/QmPdBwVknECy5CEHNcRWJAVVzD1mKbMC1Tvxfxs4k2WbTY,#479
None,Snowy Mountains,None,Laser Visor,Brown,None,Herb,61aa7e125f3a3742af4c4ab3,SHIBOSHIS - Official Collection,481,https://shiboshis.mypinata.cloud/ipfs/QmSWE23F53PToe69isrjE3jXSnYiYpCwXWqSHHn919aPWt,#480
None,Lightning,Army,VR,Brown,Blue Hair,Pizza,61aa7e125f3a3742af4c4ab4,SHIBOSHIS - Official Collection,482,https://shiboshis.mypinata.cloud/ipfs/QmcVhAVN7ttF35XMtqM2Be8Qgc717D5j8ML74aAnghh3PC,#481
None,Blue,Clown,VR,Orange,Clown,Normal,61aa7e125f3a3742af4c4ab5,SHIBOSHIS - Official Collection,483,https://shiboshis.mypinata.cloud/ipfs/QmWesKfAHEPCFpaJwNfrfepMmnMNTqubHvphRMk9XwZKpJ,#482
None,Snowy Mountains,Tux Shirt,Laser Visor,Brown,Party Hat,Flames,61aa7e125f3a3742af4c4ab6,SHIBOSHIS - Official Collection,484,https://shiboshis.mypinata.cloud/ipfs/QmaNiBkqGacnsm8fjqfZj8uq1qPFra74tg15XRKnhqjfMC,#483
None,Purple,DEV,Laser Visor,Brown,None,Normal,61aa7e125f3a3742af4c4ab7,SHIBOSHIS - Official Collection,485,https://shiboshis.mypinata.cloud/ipfs/QmU8BJxSCCU6EhSLRErvpkJAnoP5HdQzAQWSHtG44cuhiN,#484
None,Yellow,Cowboy,Laser Visor,Orange,None,Flames,61aa7e125f3a3742af4c4ab8,SHIBOSHIS - Official Collection,486,https://shiboshis.mypinata.cloud/ipfs/QmPD7QEhrAu6qrSFvPXkykQBWnX2BFRcRn8h7EfUfCNTzB,#485
None,Orange,No FUD,VR,Brown,None,Smirk,61aa7e125f3a3742af4c4ab9,SHIBOSHIS - Official Collection,487,https://shiboshis.mypinata.cloud/ipfs/QmfHqRcQuhA18Q2CJmS2WMPy3qKxYc1kjsMyKxwPf2eVEt,#486
None,Blue,Scarf,Laser Visor,Brown,Blue Hair,Bone,61aa7e125f3a3742af4c4aba,SHIBOSHIS - Official Collection,488,https://shiboshis.mypinata.cloud/ipfs/QmZa4BdqNjJSpCRvHC1XJtMn4EiaV7P2opspTd6o4EhzTS,#487
None,Lightning,Peace Tank,Laser Visor,Brown,Halo,Pipe,61aa7e125f3a3742af4c4abb,SHIBOSHIS - Official Collection,489,https://shiboshis.mypinata.cloud/ipfs/QmaeRX7GVgMCh49Be1eB7FniNwH3NHGvHGctUUEr5HZr5M,#488
None,Green,Cowboy,VR,Brown,Blonde Hair,Cigarette,61aa7e125f3a3742af4c4abc,SHIBOSHIS - Official Collection,490,https://shiboshis.mypinata.cloud/ipfs/QmW7CRiu8WaJ2qir1mY1Sjck1FVoimUm1Uumnsvnth57Pq,#489
None,Space,Poncho,Laser Visor,Brown,None,Bone,61aa7e125f3a3742af4c4abd,SHIBOSHIS - Official Collection,491,https://shiboshis.mypinata.cloud/ipfs/QmdE78JhktQA6SsdDCUDZqQYSvKACsxGk2ZAA9xXE2Kfhj,#490
None,Pyramids,Wizard Robe,VR,Orange,Halo,Pizza,61aa7e125f3a3742af4c4abe,SHIBOSHIS - Official Collection,492,https://shiboshis.mypinata.cloud/ipfs/Qma4XWDY7EJrU4appyrh2P1GopE1MCnvPBeyuc7YF34qqo,#491
None,Green,Bat,Laser Visor,Brown,Blue Hair,Smirk,61aa7e125f3a3742af4c4abf,SHIBOSHIS - Official Collection,493,https://shiboshis.mypinata.cloud/ipfs/Qmcxd1hS5YPfj9jyrYth6UuGnmx1g2aaAwrhjAR318JNLh,#492
None,Blue,No FUD,Laser Visor,Black,Cyborg,Normal,61aa7e125f3a3742af4c4ac0,SHIBOSHIS - Official Collection,494,https://shiboshis.mypinata.cloud/ipfs/QmXaJgDp1QAN7ojg9vQkk1udySk9nayucPYPuu2hgUPMbu,#493
None,Orange,Overalls,VR,Orange,Cowboy Hat,Pipe,61aa7e125f3a3742af4c4ac1,SHIBOSHIS - Official Collection,495,https://shiboshis.mypinata.cloud/ipfs/QmfYN8Ys6bXcSPvLVuY49givT5UvnY7AB4A4nzvMQXrC7L,#494
None,Green,Steel,VR,Black,Halo,Bubblegum,61aa7e125f3a3742af4c4ac2,SHIBOSHIS - Official Collection,496,https://shiboshis.mypinata.cloud/ipfs/QmWFAgzjqJpwKeMqzRepBRSxT6hp7hbsmqAoKQ9V3qcRFM,#495
None,Pyramids,Rocker Vest,VR,Black,Mohawk,Bone,61aa7e125f3a3742af4c4ac3,SHIBOSHIS - Official Collection,497,https://shiboshis.mypinata.cloud/ipfs/QmRcbPt3s9FGrTTZg6Wah2yUT8AvSGvi7myzcm9LcMLPYY,#496
None,Purple,Scarf,VR,Orange,Cowboy Hat,Bone,61aa7e125f3a3742af4c4ac4,SHIBOSHIS - Official Collection,498,https://shiboshis.mypinata.cloud/ipfs/QmQnV9SRu1UeWCz3YFW5S2eGXpNTPu3u6SnUgdnHpSv8Rz,USA
None,Space,Wizard Robe,Laser Visor,Orange,None,Pipe,61aa7e125f3a3742af4c4ac5,SHIBOSHIS - Official Collection,499,https://shiboshis.mypinata.cloud/ipfs/Qmcebz1r76iP7AL7u27WD74m4PKJ3ves5ycAAmdg5dpebr,#498
None,Purple,Wizard Robe,VR,Orange,Blonde Hair,Cigarette,61aa7e125f3a3742af4c4ac6,SHIBOSHIS - Official Collection,500,https://shiboshis.mypinata.cloud/ipfs/QmXcYrXWdMcvLaP3uft4T18hQEJbipMhD1RTkFTvW8Bkrt,#499
None,Rainbow,None,VR,Orange,Cyborg,Flames,61aa7e125f3a3742af4c4ac7,SHIBOSHIS - Official Collection,501,https://shiboshis.mypinata.cloud/ipfs/QmNn6973zHPzntdeUmTVcXkWUnHmRfrQA189sd6Z5eE8cb,#500
None,Orange Fade,No FUD,VR,Orange,None,Tongue Out,61aa7e125f3a3742af4c4ac8,SHIBOSHIS - Official Collection,502,https://shiboshis.mypinata.cloud/ipfs/Qmc4qmEUAUYe5U6adbfdaNjMRbf6irNWWM87531ipwDqB9,#501
None,Rainbow,Overalls,VR,Brown,Cowboy Hat,Growl,61aa7e125f3a3742af4c4ac9,SHIBOSHIS - Official Collection,503,https://shiboshis.mypinata.cloud/ipfs/QmdWrJugeokWZbQtchCLGAumBED5mPeW1R7qYRR3JMgumo,#502
None,Beach,Clown,VR,Orange,Halo,Bubblegum,61aa7e125f3a3742af4c4aca,SHIBOSHIS - Official Collection,504,https://shiboshis.mypinata.cloud/ipfs/QmPJL7LmP3w9nkpMbKvHzibXEzDiKNQkq5CWonFVyKzFFn,#503
None,Purple,Rocker Vest,VR,Orange,Party Hat,Normal,61aa7e125f3a3742af4c4acb,SHIBOSHIS - Official Collection,505,https://shiboshis.mypinata.cloud/ipfs/QmQwXY7HjpnsnCe9g72qfu2G8S8LbpPYmvGyK6LL7DoTRH,#504
None,Space,Bat,VR,Black,Cyborg,Cigarette,61aa7e125f3a3742af4c4acc,SHIBOSHIS - Official Collection,506,https://shiboshis.mypinata.cloud/ipfs/QmStdbnQKZiPESfuDGQT3SXZ32CLvf2un5iPJYTv6WAY7z,#505
None,Green,DEV,VR,Brown,None,Bone,61aa7e125f3a3742af4c4acd,SHIBOSHIS - Official Collection,507,https://shiboshis.mypinata.cloud/ipfs/QmXydK6HwZ244Yv87z7CQ1MpH2jQCYVrMrLK27uXmgjaS5,#506
None,Lightning,Wizard Robe,VR,Orange,None,Whistle,61aa7e125f3a3742af4c4ace,SHIBOSHIS - Official Collection,508,https://shiboshis.mypinata.cloud/ipfs/QmTtFxjoJLRfceBqnMnGJo49J6vsv8h8YMFaFBQE6pYRK2,#507
None,Orange Fade,Overalls,VR,Orange,Clown,Herb,61aa7e125f3a3742af4c4acf,SHIBOSHIS - Official Collection,509,https://shiboshis.mypinata.cloud/ipfs/QmRvqSqHfshfFC1UZQpU4nMut9GG2XozJwkyXfMPTrzYKa,#508
None,Snowy Mountains,Ryoshi,Laser Visor,Orange,None,Pipe,61aa7e125f3a3742af4c4ad0,SHIBOSHIS - Official Collection,510,https://shiboshis.mypinata.cloud/ipfs/QmcanieQJWSjHLP5BzxPVEgh6aKCe28yoR2UJD29amWUXj,#509
None,Snowy Mountains,Army,VR,Orange,Party Hat,Party Popper,61aa7e125f3a3742af4c4ad1,SHIBOSHIS - Official Collection,511,https://shiboshis.mypinata.cloud/ipfs/QmbWm2hYQxPSJGLDcdYbbg186xsL9zj9ch2Lgxkmbr4gbB,#510
None,Blue,Bat,Laser Visor,Brown,Mohawk,Whistle,61aa7e125f3a3742af4c4ad2,SHIBOSHIS - Official Collection,512,https://shiboshis.mypinata.cloud/ipfs/QmfL3NKiqLxgx3QgQZGQmwoWfzwPdueE48XG4SyaumbKUD,#511
None,Blue,Jersey,Laser Visor,Orange,Blonde Hair,Whistle,61aa7e125f3a3742af4c4ad3,SHIBOSHIS - Official Collection,513,https://shiboshis.mypinata.cloud/ipfs/QmNqQfCFPKRVMLJDBkNDLmY2UABZXigdScC8GkyEtHQL3s,Shibcoach
None,Red,Clown,Laser Visor,Orange,Cowboy Hat,Whistle,61aa7e125f3a3742af4c4ad4,SHIBOSHIS - Official Collection,514,https://shiboshis.mypinata.cloud/ipfs/QmPmc3G7CtReL3oe37RzBkCdNdMeAwRsszyguBkLbTTNPq,#513
None,Snowy Mountains,Astro,VR,Brown,Blonde Hair,Smirk,61aa7e125f3a3742af4c4ad5,SHIBOSHIS - Official Collection,515,https://shiboshis.mypinata.cloud/ipfs/Qmbr4v7QV6MGvtQgBC5gyi4Us2psvXetqE376J63tcJqNb,#514
None,Orange,Wizard Robe,Laser Visor,Orange,Blonde Hair,Tongue Out,61aa7e125f3a3742af4c4ad6,SHIBOSHIS - Official Collection,516,https://shiboshis.mypinata.cloud/ipfs/QmYBVZDUbXEP8rX86Hn2WhPHRCvhU3Cx1iemHpwSirPkrG,#515
None,Red,Scarf,Laser Visor,Black,None,Pizza,61aa7e125f3a3742af4c4ad7,SHIBOSHIS - Official Collection,517,https://shiboshis.mypinata.cloud/ipfs/QmU1hR6ZxdUK54j4F7eXMCQA7HDXKd6AY417yRaiBUiYz9,#516
None,Green,Orange Gi,VR,Orange,Halo,Growl,61aa7e125f3a3742af4c4ad8,SHIBOSHIS - Official Collection,518,https://shiboshis.mypinata.cloud/ipfs/QmZ1uHfXS5GfuUTtP2fPHj95gGrevHGEWPXMzw9nZsqmSZ,#517
None,Red,Scarf,Laser Visor,Black,None,Normal,61aa7e125f3a3742af4c4ad9,SHIBOSHIS - Official Collection,519,https://shiboshis.mypinata.cloud/ipfs/QmYm9iFSWmjaoU4f3iRn2kYmdxDBc7RBoQeiiR8wPB4hZw,#518
None,Red,None,VR,Brown,Clown,Whistle,61aa7e125f3a3742af4c4ada,SHIBOSHIS - Official Collection,520,https://shiboshis.mypinata.cloud/ipfs/QmWZzPKiPvHzhtrA2uKkeHcHDWbLNPwCLpWeBi5jcXYsuL,#519
None,Purple,No FUD,Laser Visor,Orange,None,Pizza,61aa7e125f3a3742af4c4adb,SHIBOSHIS - Official Collection,521,https://shiboshis.mypinata.cloud/ipfs/QmZ7rHboMD8GX4nftUUgpfqUNXmpQ62mSyhHDvzNywDNbb,#520
None,Snowy Mountains,Clown,Laser Visor,Brown,Blonde Hair,Cigarette,61aa7e125f3a3742af4c4adc,SHIBOSHIS - Official Collection,522,https://shiboshis.mypinata.cloud/ipfs/QmaygZX3EdQVm1UszyNsZNfhKz1C8QsyQE2WuQLG3itseS,SUPER CYCLOPS CLOWN
None,Blue,Army,Laser Visor,Black,Party Hat,Tongue Out,61aa7e125f3a3742af4c4add,SHIBOSHIS - Official Collection,523,https://shiboshis.mypinata.cloud/ipfs/QmYVWfvDePXJkjpNuWW2TFwrMFykuCwcF5nL7JYEtoM6MR,#522
None,Pyramids,DEV,Laser Visor,Brown,Halo,Herb,61aa7e125f3a3742af4c4ade,SHIBOSHIS - Official Collection,524,https://shiboshis.mypinata.cloud/ipfs/QmbpGiTiYXnag7vKwRemgbMCPhB9BopW892XdJw6SeAchB,#523
None,Green,Jersey,Laser Visor,Black,Clown,Bone,61aa7e125f3a3742af4c4adf,SHIBOSHIS - Official Collection,525,https://shiboshis.mypinata.cloud/ipfs/QmS8ixbJ411wPz6aFqVSHko43ornZd6SBvpgdxXCANSdf3,#524
None,Blue,Army,Laser Visor,Brown,Party Hat,Normal,61aa7e125f3a3742af4c4ae0,SHIBOSHIS - Official Collection,526,https://shiboshis.mypinata.cloud/ipfs/QmeNNLNJkxuzeDZin4EayLFDxyVX1KMGykWpuBeChs2Jwt,12
None,Green,Cowboy,Laser Visor,Black,Mohawk,Bone,61aa7e125f3a3742af4c4ae1,SHIBOSHIS - Official Collection,527,https://shiboshis.mypinata.cloud/ipfs/QmbQMbsVfaBnUNvjkUUn3ozYbNrDicw7SqZffmZwiZUzLv,#526
None,Purple,No FUD,Laser Visor,Brown,Cowboy Hat,Bone,61aa7e125f3a3742af4c4ae2,SHIBOSHIS - Official Collection,528,https://shiboshis.mypinata.cloud/ipfs/QmQuvaQGtHAx8oZjY3EbW75MFnfWfF1nTAVLoYCUcz3GUY,#527
None,Orange Fade,Doctor,VR,Brown,Party Hat,Smirk,61aa7e125f3a3742af4c4ae3,SHIBOSHIS - Official Collection,529,https://shiboshis.mypinata.cloud/ipfs/QmSvrJYBreCR1LuYiwYQDUz4p2vmDRmzLBK3aFHXW34GtK,#528
None,Rainbow,Poncho,Laser Visor,Orange,Blue Hair,Tongue Out,61aa7e125f3a3742af4c4ae4,SHIBOSHIS - Official Collection,530,https://shiboshis.mypinata.cloud/ipfs/QmQdYTTPkNrJtFHMhpWjcetrgnBBkrFZVMeYkFBmZbDUbF,#529
None,Red,No FUD,VR,Orange,None,Pizza,61aa7e125f3a3742af4c4ae5,SHIBOSHIS - Official Collection,531,https://shiboshis.mypinata.cloud/ipfs/QmayumHszKH2vpwzkneoztJHNgLEMhmo6dw4RcTrDoxhbK,#530
None,Beach,DEV,VR,Black,Blonde Hair,Party Popper,61aa7e125f3a3742af4c4ae6,SHIBOSHIS - Official Collection,532,https://shiboshis.mypinata.cloud/ipfs/QmSKFFUgkTVJ87S7vJabJyXLk4QYZ77WkJs3R2vyT8vjgy,#531
None,Red,Scarf,VR,Black,Clown,Normal,61aa7e125f3a3742af4c4ae7,SHIBOSHIS - Official Collection,533,https://shiboshis.mypinata.cloud/ipfs/QmaW2suiRHSpXhCg3wwxLVn2qFAYrHg2wJLDGvXPK9yQLL,#532
None,Orange Fade,Ryoshi,VR,Black,Mohawk,Bone,61aa7e125f3a3742af4c4ae8,SHIBOSHIS - Official Collection,534,https://shiboshis.mypinata.cloud/ipfs/QmbRNN1quW7Mu1DBH27x5kCnbjiwAPnGPUp38dmfxBuBun,SHIBRIPPER
None,Orange,Blue Armor,VR,Orange,Party Hat,Smirk,61aa7e125f3a3742af4c4ae9,SHIBOSHIS - Official Collection,535,https://shiboshis.mypinata.cloud/ipfs/QmY2qE4HuRCTm8gUhduF6xEzDBj49dtWxpBZGztow7F56R,#534
None,Snowy Mountains,Astro,VR,Orange,Mohawk,Flames,61aa7e125f3a3742af4c4aea,SHIBOSHIS - Official Collection,536,https://shiboshis.mypinata.cloud/ipfs/QmcKAeKzUm77tnnCsd8hCNUN5nV6JAfw1PRWcSJQ2NLJwM,#535
None,Yellow,Steel,Laser Visor,Orange,Blonde Hair,Pipe,61aa7e125f3a3742af4c4aeb,SHIBOSHIS - Official Collection,537,https://shiboshis.mypinata.cloud/ipfs/QmPvhhCqKo7gLJf3RV2ar424Cro8XAG1KgRZrHTbS65Z1N,Iron Pipe
None,Pyramids,Jersey,VR,Black,Halo,Bone,61aa7e125f3a3742af4c4aec,SHIBOSHIS - Official Collection,538,https://shiboshis.mypinata.cloud/ipfs/QmWN722LMM8QQu2uvpVy4J13sKfPzvJRscSXEa6Mk9YCRS,#537
None,Lightning,Peace Tank,Laser Visor,Brown,Halo,Normal,61aa7e125f3a3742af4c4aed,SHIBOSHIS - Official Collection,539,https://shiboshis.mypinata.cloud/ipfs/QmezK9NRmo1XfrS7RN8qrppSp2h4ZsGu9ZXJMrcrKZJ841,#538
None,Snowy Mountains,Bat,VR,Black,Party Hat,Party Popper,61aa7e125f3a3742af4c4aee,SHIBOSHIS - Official Collection,540,https://shiboshis.mypinata.cloud/ipfs/QmPqpwrxefDXAKoiookUakSiLbdr2BL5r33fZpgWgACUZS,#539
None,Blue,None,VR,Brown,Party Hat,Pipe,61aa7e125f3a3742af4c4aef,SHIBOSHIS - Official Collection,541,https://shiboshis.mypinata.cloud/ipfs/Qme9sxy4XaBz2a5i27ULtwziwajwJFwoh2SJmwanUWP4JW,#540
None,Space,Doctor,Laser Visor,Orange,Blue Hair,Herb,61aa7e125f3a3742af4c4af0,SHIBOSHIS - Official Collection,542,https://shiboshis.mypinata.cloud/ipfs/QmPEVRrmgJX7GnhGXeQ8K6zZuXntJ5szWutvRPoVugmNvG,Dr Feelgood
None,Green,Overalls,VR,Orange,Blue Hair,Whistle,61aa7e125f3a3742af4c4af1,SHIBOSHIS - Official Collection,543,https://shiboshis.mypinata.cloud/ipfs/QmUGvjnZ2vwxjm4r9pupCZGdzLMrtfvTaFXJoGtfqTMUDg,#542
None,Snowy Mountains,No FUD,Laser Visor,Orange,None,Pipe,61aa7e125f3a3742af4c4af2,SHIBOSHIS - Official Collection,544,https://shiboshis.mypinata.cloud/ipfs/QmeFx7wkWfRaF2ZRWbcsTunA9u8Ca6SHQsWPrfbAzGPTX6,Fuck Joe Biden
None,Snowy Mountains,None,VR,Brown,Mohawk,Whistle,61aa7e125f3a3742af4c4af3,SHIBOSHIS - Official Collection,545,https://shiboshis.mypinata.cloud/ipfs/QmZNQRBFpJop9zFoW7Myifs7hu6dTTh2XMXPATXcxyt4kv,#544
None,Green,Cowboy,Laser Visor,Orange,Halo,Bone,61aa7e125f3a3742af4c4af4,SHIBOSHIS - Official Collection,546,https://shiboshis.mypinata.cloud/ipfs/Qma7jgvRzf8hfkyLJFidbZoJiCGeGjvEKNX5bxpF17mBTC,Kobe Laser Eyes
None,Yellow,Peace Tank,Laser Visor,Black,Blonde Hair,Party Popper,61aa7e125f3a3742af4c4af5,SHIBOSHIS - Official Collection,547,https://shiboshis.mypinata.cloud/ipfs/QmR9eWrbQh5CagiYEngNGbaqFYoGNSqbP1ayNohu89mTt8,#546
None,Snowy Mountains,Tux Shirt,Laser Visor,Brown,Mohawk,Pipe,61aa7e125f3a3742af4c4af6,SHIBOSHIS - Official Collection,548,https://shiboshis.mypinata.cloud/ipfs/QmRtM9H6WK3EwDWZFZy2rYJbVV7J6Ro2zqA4eTba2MDu1h,#547
None,Orange,Wizard Robe,VR,Orange,Blue Hair,Pizza,61aa7e125f3a3742af4c4af7,SHIBOSHIS - Official Collection,549,https://shiboshis.mypinata.cloud/ipfs/QmYqBUPu2AqxumHobPtLQYt4n3HN855FLBMo1HVLgay9SW,#548
None,Blue,No FUD,Laser Visor,Black,Blue Hair,Pizza,61aa7e125f3a3742af4c4af8,SHIBOSHIS - Official Collection,550,https://shiboshis.mypinata.cloud/ipfs/QmPAw8Ht8FR2PkRTx2citQvBe1yDH4zYvxgUiswzuZxuxW,#549
None,Pyramids,Tux Shirt,VR,Orange,Cyborg,Pizza,61aa7e125f3a3742af4c4af9,SHIBOSHIS - Official Collection,551,https://shiboshis.mypinata.cloud/ipfs/QmWKKfM1KuHhwDHM3atiSowbzEKy8rJZgx1ERFqcjaSC4a,#550
None,Green,Scarf,Laser Visor,Brown,None,Smirk,61aa7e125f3a3742af4c4afa,SHIBOSHIS - Official Collection,552,https://shiboshis.mypinata.cloud/ipfs/QmVeK4JZCeDV77qNopnpxEzmYDvGfJNyqG8aQMJ8E4A8xy,#551
None,Orange Fade,Overalls,Laser Visor,Brown,Blue Hair,Herb,61aa7e125f3a3742af4c4afb,SHIBOSHIS - Official Collection,553,https://shiboshis.mypinata.cloud/ipfs/QmTHV1pVn24ef1tcBENHhpeC93GB9XVMVj5VVrvCPLkQGw,#552
None,Purple,Business Suit,Laser Visor,Orange,Cowboy Hat,Cigarette,61aa7e125f3a3742af4c4afc,SHIBOSHIS - Official Collection,554,https://shiboshis.mypinata.cloud/ipfs/QmZLTsoDGWjWUPT87A6WMMJJgR7YHqFaUAY7WPiaA6rKfo,#553
None,Red,Overalls,VR,Orange,Halo,Bone,61aa7e125f3a3742af4c4afd,SHIBOSHIS - Official Collection,555,https://shiboshis.mypinata.cloud/ipfs/QmbTG8DfA2arbxiUx4wQQuZReMBg14QQ4teRixM79PgfJQ,#554
None,Snowy Mountains,Cowboy,Laser Visor,Orange,Halo,Flames,61aa7e125f3a3742af4c4afe,SHIBOSHIS - Official Collection,556,https://shiboshis.mypinata.cloud/ipfs/QmcCxB4x6UAHdTrZHwRBhuxnyJhtzsxjvChRDQ8Wc21UVF,#555
None,Purple,Army,VR,Orange,None,Herb,61aa7e125f3a3742af4c4aff,SHIBOSHIS - Official Collection,557,https://shiboshis.mypinata.cloud/ipfs/QmdfTuVqZ2ATR5gt5e2bWU1pWLRfvUr82WyT69NgPY1j7p,#556
None,Rainbow,Astro,VR,Black,Party Hat,Pipe,61aa7e125f3a3742af4c4b00,SHIBOSHIS - Official Collection,558,https://shiboshis.mypinata.cloud/ipfs/QmQTngtgLX62CY4sQFY1iTtoECSUZ4ESod4ULccd43KER1,#557
None,Red,Peace Tank,Laser Visor,Orange,Clown,Flames,61aa7e125f3a3742af4c4b01,SHIBOSHIS - Official Collection,559,https://shiboshis.mypinata.cloud/ipfs/QmdUJzsJYycPMgZvXUozwkrq6qHY4gsSBUq8e6LzapQjGR,#558
None,Yellow,None,Laser Visor,Orange,Cyborg,Bubblegum,61aa7e125f3a3742af4c4b02,SHIBOSHIS - Official Collection,560,https://shiboshis.mypinata.cloud/ipfs/QmYumGEuMBRY2yDJTPmiWNwF3y1tyLYn1z5EeSTgfRg9Au,#559
None,Lightning,Ryoshi,Laser Visor,Orange,Halo,Normal,61aa7e125f3a3742af4c4b03,SHIBOSHIS - Official Collection,561,https://shiboshis.mypinata.cloud/ipfs/QmYF86RKAWRuadYuS9jHgx2u5qKd37WWSF37KUCDsBXR3r,#560
None,Snowy Mountains,Jersey,Laser Visor,Orange,Cowboy Hat,Flames,61aa7e125f3a3742af4c4b04,SHIBOSHIS - Official Collection,562,https://shiboshis.mypinata.cloud/ipfs/QmXjQHbmHTpfgyk8aV4gZ6YPxBckZYEaXmv29NCZAKGGqu,#561
None,Space,Doctor,Laser Visor,Black,Clown,Smirk,61aa7e125f3a3742af4c4b05,SHIBOSHIS - Official Collection,563,https://shiboshis.mypinata.cloud/ipfs/QmP3uSFFfpczeNZAP5ssKZbxAnsUPTggrQ2YdB1mQGGYpn,#562
None,Purple,Tux Shirt,Laser Visor,Orange,Clown,Bone,61aa7e125f3a3742af4c4b06,SHIBOSHIS - Official Collection,564,https://shiboshis.mypinata.cloud/ipfs/QmbirtfMeimC8KzNy1mAxz9p1E1Uhh6RSHGYDnZBsCcdsT,#563
None,Red,Jersey,Laser Visor,Orange,Party Hat,Cigarette,61aa7e125f3a3742af4c4b07,SHIBOSHIS - Official Collection,565,https://shiboshis.mypinata.cloud/ipfs/QmU1KgHoJ1oD6JPppMy1ReV1TuiraA5k1buuy9F2MYAF6m,#564
None,Blue,Orange Gi,VR,Black,Blue Hair,Growl,61aa7e125f3a3742af4c4b08,SHIBOSHIS - Official Collection,566,https://shiboshis.mypinata.cloud/ipfs/QmeV7CZtzbw6cm3dpMorw3p3SAMnCGJ9VZGM8ZFcufiBB3,#565
None,Purple,Tux Shirt,Laser Visor,Orange,None,Bubblegum,61aa7e125f3a3742af4c4b09,SHIBOSHIS - Official Collection,567,https://shiboshis.mypinata.cloud/ipfs/Qmamca4v6AJc6zH7jyzTAoVudJbGoaUAL42h4zM8YjyLgC,#566
None,Rainbow,DEV,VR,Orange,None,Cigarette,61aa7e125f3a3742af4c4b0a,SHIBOSHIS - Official Collection,568,https://shiboshis.mypinata.cloud/ipfs/QmQDNXimiCMPZ3rY5rNUvqT2SXp8YhiHigxLjoFhay4EZC,#567
None,Orange Fade,Cowboy,VR,Black,Halo,Pipe,61aa7e125f3a3742af4c4b0b,SHIBOSHIS - Official Collection,569,https://shiboshis.mypinata.cloud/ipfs/QmQUHjACycbvxvLqxNLdGutjs6ciFRWt4Bfq1pnbNgwvJJ,#568
